OMP_NUM_THREADS,Execution_Time
1,0.237677
2,0.142141
3,0.110047
4,0.094100
5,0.083158
6,0.076147
7,0.068993
8,0.063994
9,0.059396
10,0.056243
11,0.052831
12,0.050185
13,0.050500
14,0.050650
15,0.050125
16,0.049918
17,0.049846
18,0.049303
19,0.048771
20,0.049005
21,0.049130
22,0.048094
23,0.047570
24,0.051593
