Processes,Latency
2,,0.19
4,,0.19
6,,0.30
8,,0.71
10,,0.93
12,,0.91
14,,0.98
16,,1.61
18,,2.26
20,,2.42
22,,2.42
24,,2.64
26,,2.49
28,,2.46
30,,2.93
32,,3.34
34,,4.89
36,,4.90
38,,4.63
40,,4.52
42,,4.63
44,,4.73
46,,4.71
48,,5.29
