28, 16, 13.22
28, 32, 15.00
28, 64, 15.28
28, 128, 18.75
28, 256, 19.04
28, 512, 21.03
28, 1024, 23.20
28, 2048, 29.74
28, 4096, 37.96
28, 8192, 57.43
28, 16384, 80.12
28, 32768, 128.25
28, 65536, 224.19
28, 131072, 418.42
28, 262144, 527.71
28, 524288, 1575.03
28, 1048576, 4111.70
30, 2, 13.94
30, 4, 13.86
30, 8, 14.03
30, 16, 14.47
30, 32, 16.73
30, 64, 16.27
30, 128, 20.37
30, 256, 20.79
30, 512, 22.01
30, 1024, 25.49
30, 2048, 33.09
30, 4096, 40.93
30, 8192, 62.51
30, 16384, 86.57
30, 32768, 137.18
30, 65536, 236.05
30, 131072, 443.50
30, 262144, 576.73
30, 524288, 1686.57
30, 1048576, 4346.41
32, 2, 16.78
32, 4, 17.30
32, 8, 16.91
32, 16, 16.78
32, 32, 19.41
32, 64, 19.06
32, 128, 23.42
32, 256, 23.84
32, 512, 25.28
32, 1024, 27.57
32, 2048, 35.91
32, 4096, 44.61
32, 8192, 65.82
32, 16384, 93.98
32, 32768, 150.22
32, 65536, 254.19
32, 131072, 488.26
32, 262144, 629.45
32, 524288, 1765.37
32, 1048576, 4564.08
34, 2, 19.48
34, 4, 19.84
34, 8, 20.38
34, 16, 20.88
34, 32, 22.34
34, 64, 22.50
34, 128, 26.89
34, 256, 27.40
34, 512, 29.59
34, 1024, 31.82
34, 2048, 40.95
34, 4096, 51.90
34, 8192, 72.02
34, 16384, 101.62
34, 32768, 161.53
34, 65536, 269.26
34, 131072, 516.45
slurmstepd: error: *** JOB 376681 ON thin001 CANCELLED AT 2024-02-29T20:46:55 DUE TO TIME LIMIT ***
--------------------------------------------------------------------------
ORTE has lost communication with a remote daemon.

  HNP daemon   : [[40928,0],0] on node thin001
  Remote daemon: [[40928,0],1] on node thin002

This is usually due to either a failure of the TCP network
connection to the node, or possibly an internal failure of
the daemon itself. We cannot recover from this failure, and
therefore will terminate the job.
--------------------------------------------------------------------------
