Processes,Latency
2,,0.20
4,,0.28
6,,0.75
8,,1.05
10,,1.83
12,,1.63
14,,1.81
16,,1.69
18,,2.45
20,,2.31
22,,2.31
24,,2.29
26,,2.52
28,,2.92
30,,2.78
32,,2.39
34,,3.50
36,,3.25
38,,3.21
40,,3.20
42,,3.22
44,,3.17
46,,3.23
48,,3.33
