Processes,Latency
2,,0.21
4,,0.32
6,,0.53
8,,0.69
10,,0.93
12,,0.95
14,,0.91
16,,1.22
18,,2.16
20,,2.13
22,,2.08
24,,2.03
26,,1.79
28,,1.68
30,,1.86
32,,2.33
34,,4.30
36,,4.24
38,,3.85
40,,3.69
42,,3.58
44,,3.82
46,,3.85
48,,4.08
