Processes,Latency
2,,0.14
4,,0.16
6,,0.31
8,,0.84
10,,1.17
12,,1.19
14,,1.20
16,,1.12
18,,1.86
20,,1.79
22,,1.91
24,,1.92
26,,1.86
28,,2.05
30,,1.94
32,,1.92
34,,3.44
36,,3.47
38,,3.01
40,,3.29
42,,3.07
44,,3.01
46,,3.32
48,,3.69
