Processes,Latency
2,,0.42
4,,0.19
6,,0.32
8,,0.65
10,,0.90
12,,0.89
14,,0.99
16,,1.58
18,,2.26
20,,2.35
22,,2.41
24,,2.66
26,,2.37
28,,2.43
30,,2.78
32,,3.37
34,,4.96
36,,4.67
38,,4.33
40,,4.38
42,,4.70
44,,4.61
46,,4.67
48,,5.03
