Processes,Latency
2,,0.15
4,,0.25
6,,0.64
8,,1.37
10,,1.89
12,,2.15
14,,2.43
16,,2.93
18,,3.40
20,,4.57
22,,4.78
24,,5.72
26,,5.53
28,,5.16
30,,5.79
32,,6.77
34,,6.82
36,,7.11
38,,7.20
40,,7.71
42,,7.76
44,,8.25
46,,8.59
48,,9.07
