Processes,Size,Latency
2,2,0.41
2,4,0.43
2,8,0.41
2,16,0.41
2,32,0.41
2,64,0.50
2,128,0.47
2,256,0.75
2,512,0.79
2,1024,0.92
2,2048,1.12
2,4096,1.51
2,8192,2.30
2,16384,3.72
2,32768,6.04
2,65536,10.05
2,131072,18.57
2,262144,35.71
2,524288,56.92
2,1048576,109.69
4,2,0.19
4,4,1.14
4,8,1.14
4,16,1.15
4,32,1.16
4,64,1.22
4,128,1.54
4,256,1.52
4,512,2.05
4,1024,2.16
4,2048,2.66
4,4096,3.25
4,8192,4.83
4,16384,7.26
4,32768,11.53
4,65536,18.64
4,131072,29.48
4,262144,55.65
4,524288,115.12
4,1048576,199.17
6,2,0.30
6,4,0.33
6,8,1.70
6,16,1.72
6,32,1.77
6,64,1.73
6,128,1.83
6,256,2.28
6,512,2.54
6,1024,2.92
6,2048,3.53
6,4096,4.14
6,8192,5.74
6,16384,8.52
6,32768,13.68
6,65536,22.18
6,131072,35.81
6,262144,64.54
6,524288,120.51
6,1048576,282.04
8,2,0.66
8,4,0.67
8,8,2.28
8,16,2.28
8,32,2.28
8,64,2.31
8,128,2.39
8,256,3.83
8,512,3.26
8,1024,4.08
8,2048,4.30
8,4096,5.21
8,8192,6.84
8,16384,10.43
8,32768,15.60
8,65536,24.94
8,131072,39.65
8,262144,69.56
8,524288,142.25
8,1048576,304.68
10,2,0.87
10,4,0.87
10,8,0.90
10,16,3.04
10,32,3.01
10,64,3.88
10,128,3.25
10,256,3.32
10,512,4.36
10,1024,5.09
10,2048,5.40
10,4096,6.33
10,8192,7.72
10,16384,10.86
10,32768,16.87
10,65536,27.28
10,131072,43.13
10,262144,79.37
10,524288,144.03
10,1048576,320.35
12,2,0.86
12,4,0.90
12,8,0.90
12,16,3.28
12,32,3.43
12,64,3.96
12,128,3.53
12,256,3.62
12,512,4.63
12,1024,4.92
12,2048,5.77
12,4096,7.00
12,8192,8.36
12,16384,11.71
12,32768,17.67
12,65536,28.91
12,131072,47.35
12,262144,81.71
12,524288,152.48
12,1048576,355.59
14,2,0.96
14,4,1.01
14,8,0.96
14,16,4.58
14,32,4.75
14,64,4.81
14,128,4.81
14,256,5.00
14,512,6.95
14,1024,7.43
14,2048,10.42
14,4096,11.72
14,8192,13.83
14,16384,18.77
14,32768,24.93
14,65536,39.79
14,131072,70.20
14,262144,120.31
14,524288,202.02
14,1048576,423.81
16,2,1.49
16,4,1.58
16,8,1.57
16,16,6.13
16,32,5.53
16,64,5.47
16,128,5.74
16,256,5.89
16,512,8.39
16,1024,8.35
16,2048,12.43
16,4096,13.12
16,8192,15.72
16,16384,20.59
16,32768,29.82
16,65536,45.85
16,131072,74.52
16,262144,132.15
16,524288,240.90
16,1048576,459.59
18,2,2.24
18,4,2.28
18,8,2.25
18,16,2.33
18,32,7.08
18,64,7.03
18,128,7.29
18,256,7.65
18,512,10.09
18,1024,10.91
18,2048,13.90
18,4096,15.22
18,8192,17.48
18,16384,22.69
18,32768,31.39
18,65536,48.05
18,131072,77.41
18,262144,138.94
18,524288,249.88
18,1048576,492.56
20,2,2.32
20,4,2.35
20,8,2.36
20,16,2.71
20,32,7.30
20,64,7.36
20,128,7.67
20,256,7.93
20,512,8.58
20,1024,11.41
20,2048,14.59
20,4096,16.32
20,8192,18.17
20,16384,23.10
20,32768,33.57
20,65536,48.91
20,131072,80.43
20,262144,144.73
20,524288,251.05
20,1048576,494.25
22,2,2.40
22,4,2.39
22,8,2.53
22,16,2.43
22,32,7.59
22,64,7.79
22,128,7.98
22,256,8.11
22,512,8.82
22,1024,12.06
22,2048,15.28
22,4096,17.02
22,8192,18.28
22,16384,24.06
22,32768,34.42
22,65536,50.28
22,131072,82.42
22,262144,150.51
22,524288,255.29
22,1048576,542.53
24,2,2.67
24,4,2.64
24,8,2.77
24,16,2.65
24,32,7.94
24,64,8.22
24,128,8.24
24,256,8.66
24,512,9.13
24,1024,12.45
24,2048,13.15
24,4096,17.13
24,8192,19.89
24,16384,25.11
24,32768,36.27
24,65536,51.05
24,131072,85.58
24,262144,153.11
24,524288,261.91
24,1048576,556.78
26,2,2.30
26,4,2.46
26,8,2.50
26,16,2.44
26,32,9.60
26,64,9.89
26,128,10.05
26,256,10.16
26,512,10.64
26,1024,13.51
26,2048,13.91
26,4096,17.56
26,8192,20.80
26,16384,25.99
26,32768,37.23
26,65536,52.23
26,131072,88.52
26,262144,160.65
26,524288,273.35
26,1048576,528.43
28,2,2.41
28,4,2.42
28,8,2.36
28,16,2.41
28,32,9.94
28,64,10.08
28,128,10.13
28,256,10.46
28,512,10.65
28,1024,13.94
28,2048,14.40
28,4096,18.88
28,8192,21.46
28,16384,26.73
28,32768,38.16
28,65536,54.56
28,131072,90.48
28,262144,165.06
28,524288,279.93
28,1048576,548.27
30,2,2.71
30,4,2.72
30,8,2.82
30,16,2.88
30,32,10.26
30,64,10.41
30,128,10.61
30,256,10.86
30,512,11.33
30,1024,14.23
30,2048,14.89
30,4096,19.40
30,8192,22.44
30,16384,27.45
30,32768,39.22
30,65536,55.58
30,131072,91.79
30,262144,167.03
30,524288,284.94
30,1048576,546.04
32,2,3.29
32,4,3.35
32,8,3.33
32,16,3.34
32,32,11.80
32,64,11.18
32,128,11.01
32,256,11.86
32,512,12.08
32,1024,15.71
32,2048,16.25
32,4096,21.02
32,8192,22.86
32,16384,28.83
32,32768,38.70
32,65536,57.45
32,131072,93.68
32,262144,160.43
32,524288,265.84
32,1048576,555.82
34,2,4.85
34,4,4.82
34,8,4.77
34,16,4.81
34,32,5.57
34,64,13.78
34,128,13.67
34,256,14.45
34,512,14.61
34,1024,18.14
34,2048,18.81
34,4096,24.17
34,8192,25.74
34,16384,31.32
34,32768,41.59
34,65536,58.54
34,131072,96.45
34,262144,164.89
34,524288,288.05
34,1048576,544.63
36,2,4.83
36,4,4.72
36,8,4.66
36,16,4.74
36,32,5.22
36,64,13.98
36,128,13.89
36,256,14.72
36,512,14.74
36,1024,18.41
36,2048,19.47
36,4096,23.88
36,8192,26.26
36,16384,31.67
36,32768,41.67
36,65536,59.14
36,131072,95.78
36,262144,163.41
36,524288,291.04
36,1048576,563.32
38,2,4.45
38,4,4.26
38,8,4.28
38,16,4.32
38,32,4.84
38,64,14.63
38,128,14.54
38,256,15.23
38,512,15.46
38,1024,15.89
38,2048,20.65
38,4096,26.65
38,8192,27.57
38,16384,34.64
38,32768,45.08
38,65536,66.83
38,131072,99.34
38,262144,165.24
38,524288,298.56
38,1048576,603.32
40,2,4.59
40,4,4.22
40,8,4.42
40,16,4.29
40,32,4.73
40,64,14.78
40,128,14.90
40,256,15.76
40,512,15.68
40,1024,16.10
40,2048,21.15
40,4096,26.60
40,8192,29.35
40,16384,35.18
40,32768,45.21
40,65536,65.54
40,131072,98.78
40,262144,164.30
40,524288,297.29
40,1048576,584.21
42,2,4.90
42,4,4.41
42,8,4.49
42,16,4.46
42,32,4.94
42,64,15.06
42,128,15.12
42,256,15.78
42,512,15.98
42,1024,16.48
42,2048,21.55
42,4096,28.01
42,8192,29.94
42,16384,35.32
42,32768,46.52
42,65536,64.52
42,131072,96.95
42,262144,166.59
42,524288,302.66
42,1048576,622.73
44,2,4.77
44,4,4.35
44,8,4.62
44,16,4.49
44,32,4.86
44,64,15.53
44,128,15.61
44,256,15.89
44,512,16.33
44,1024,17.02
44,2048,21.77
44,4096,28.34
44,8192,30.55
44,16384,35.31
44,32768,47.20
44,65536,64.90
44,131072,98.50
44,262144,165.26
44,524288,306.69
44,1048576,566.93
46,2,4.70
46,4,4.76
46,8,4.68
46,16,4.85
46,32,5.15
46,64,15.83
46,128,15.83
46,256,16.21
46,512,16.68
46,1024,17.20
46,2048,22.58
46,4096,23.09
46,8192,30.09
46,16384,36.34
46,32768,48.18
46,65536,65.34
46,131072,99.54
46,262144,165.26
46,524288,306.49
46,1048576,612.73
48,2,4.90
48,4,4.94
48,8,5.02
48,16,5.13
48,32,5.36
48,64,16.11
48,128,17.23
48,256,16.56
48,512,17.02
48,1024,17.41
48,2048,22.94
48,4096,23.66
48,8192,31.10
48,16384,37.32
48,32768,47.51
48,65536,67.11
48,131072,95.62
48,262144,164.67
48,524288,308.18
48,1048576,587.49
