Processes,Size,Latency
2,2,0.19
2,4,0.20
2,8,0.21
2,16,0.20
2,32,0.28
2,64,0.26
2,128,0.33
2,256,0.33
2,512,0.36
2,1024,0.43
2,2048,0.55
2,4096,0.86
2,8192,1.36
2,16384,3.15
2,32768,5.29
2,65536,6.83
2,131072,10.00
2,262144,15.56
2,524288,29.86
2,1048576,64.37
4,2,0.33
4,4,0.34
4,8,0.33
4,16,0.33
4,32,0.39
4,64,0.39
4,128,0.53
4,256,0.57
4,512,0.61
4,1024,0.83
4,2048,1.11
4,4096,1.73
4,8192,2.73
4,16384,6.94
4,32768,11.29
4,65536,16.14
4,131072,27.16
4,262144,48.59
4,524288,97.32
4,1048576,189.34
6,2,0.48
6,4,0.49
6,8,0.49
6,16,0.50
6,32,0.60
6,64,0.59
6,128,0.80
6,256,0.91
6,512,0.98
6,1024,1.19
6,2048,1.64
6,4096,2.43
6,8192,3.83
6,16384,9.29
6,32768,14.48
6,65536,24.44
6,131072,42.86
6,262144,80.80
6,524288,147.29
6,1048576,306.69
8,2,0.67
8,4,0.69
8,8,0.67
8,16,0.71
8,32,0.82
8,64,0.87
8,128,1.14
8,256,1.22
8,512,1.35
8,1024,1.58
8,2048,2.26
8,4096,3.15
8,8192,4.77
8,16384,11.46
8,32768,18.08
8,65536,29.01
8,131072,51.37
8,262144,96.47
8,524288,188.65
8,1048576,351.53
10,2,0.89
10,4,0.85
10,8,0.89
10,16,0.86
10,32,1.06
10,64,1.04
10,128,1.38
10,256,1.38
10,512,1.48
10,1024,1.84
10,2048,2.40
10,4096,3.67
10,8192,5.45
10,16384,13.98
10,32768,20.41
10,65536,35.04
10,131072,60.55
10,262144,112.19
10,524288,214.68
10,1048576,422.54
12,2,0.97
12,4,0.94
12,8,0.91
12,16,0.90
12,32,1.18
12,64,1.08
12,128,1.44
12,256,1.54
12,512,1.58
12,1024,1.95
12,2048,2.64
12,4096,4.00
12,8192,5.93
12,16384,14.61
12,32768,22.36
12,65536,37.12
12,131072,66.57
12,262144,124.15
12,524288,236.09
12,1048576,468.17
14,2,0.94
14,4,0.94
14,8,0.98
14,16,0.90
14,32,1.13
14,64,1.33
14,128,1.60
14,256,1.60
14,512,1.68
14,1024,2.17
14,2048,2.85
14,4096,4.51
14,8192,6.86
14,16384,17.12
14,32768,26.81
14,65536,45.41
14,131072,86.85
14,262144,149.59
14,524288,293.80
14,1048576,572.11
16,2,1.24
16,4,1.20
16,8,1.26
16,16,1.22
16,32,1.49
16,64,1.83
16,128,2.14
16,256,2.29
16,512,2.42
16,1024,2.83
16,2048,3.66
16,4096,5.46
16,8192,8.21
16,16384,19.04
16,32768,30.14
16,65536,51.83
16,131072,97.48
16,262144,185.29
16,524288,353.38
16,1048576,642.44
18,2,2.22
18,4,2.16
18,8,2.16
18,16,2.54
18,32,2.50
18,64,2.45
18,128,3.19
18,256,3.15
18,512,3.32
18,1024,3.81
18,2048,4.63
18,4096,6.74
18,8192,9.49
18,16384,22.15
18,32768,35.59
18,65536,61.04
18,131072,107.32
18,262144,203.52
18,524288,409.05
18,1048576,760.00
20,2,2.22
20,4,2.21
20,8,2.26
20,16,2.21
20,32,2.57
20,64,2.39
20,128,3.13
20,256,3.19
20,512,3.30
20,1024,3.94
20,2048,4.88
20,4096,6.97
20,8192,10.15
20,16384,23.45
20,32768,36.88
20,65536,64.80
20,131072,117.43
20,262144,227.59
20,524288,453.31
20,1048576,826.42
22,2,2.02
22,4,2.06
22,8,2.06
22,16,2.16
22,32,2.43
22,64,2.41
22,128,3.24
22,256,3.22
22,512,3.42
22,1024,4.06
22,2048,5.02
22,4096,7.38
22,8192,10.64
22,16384,24.25
22,32768,38.10
22,65536,67.76
22,131072,122.15
22,262144,232.06
22,524288,454.17
