OMP_NUM_THREADS,Execution_Time
1,0.296165
2,0.328999
3,0.288017
4,0.265236
5,0.265126
6,0.263796
7,0.265062
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
