Processes,Size,Latency
2,2,1.02
2,4,1.00
2,8,1.00
2,16,1.01
2,32,1.05
2,64,1.26
2,128,1.29
2,256,1.21
2,512,1.29
2,1024,1.48
2,2048,1.80
2,4096,2.25
2,8192,3.18
2,16384,4.13
2,32768,5.69
2,65536,8.61
2,131072,13.64
2,262144,38.83
2,524288,72.04
2,1048576,154.31
4,2,0.61
4,4,0.61
4,8,0.63
4,16,0.61
4,32,0.62
4,64,0.65
4,128,0.71
4,256,0.78
4,512,0.82
4,1024,0.93
4,2048,1.26
4,4096,1.84
4,8192,2.52
4,16384,4.36
4,32768,7.30
4,65536,13.61
4,131072,27.70
4,262144,69.09
4,524288,137.91
4,1048576,303.13
6,2,0.49
6,4,0.50
6,8,0.49
6,16,0.49
6,32,0.50
6,64,0.55
6,128,0.59
6,256,0.64
6,512,0.68
6,1024,0.79
6,2048,1.04
6,4096,1.61
6,8192,2.39
6,16384,3.94
6,32768,6.77
6,65536,14.57
6,131072,28.49
6,262144,101.07
6,524288,208.15
6,1048576,415.26
8,2,0.39
8,4,0.38
8,8,0.38
8,16,0.38
8,32,0.42
8,64,0.47
8,128,0.58
8,256,0.63
8,512,0.68
8,1024,0.82
8,2048,1.03
8,4096,1.59
8,8192,2.25
8,16384,4.27
8,32768,7.92
8,65536,16.69
8,131072,32.74
8,262144,140.28
8,524288,272.22
8,1048576,550.51
10,2,0.32
10,4,0.31
10,8,0.31
10,16,0.33
10,32,0.32
10,64,0.33
10,128,0.41
10,256,0.46
10,512,0.50
10,1024,0.61
10,2048,0.83
10,4096,1.42
10,8192,2.27
10,16384,4.15
10,32768,8.28
10,65536,16.56
10,131072,32.98
10,262144,175.71
10,524288,351.42
10,1048576,713.68
12,2,0.34
12,4,0.34
12,8,0.33
12,16,0.37
12,32,0.33
12,64,0.37
12,128,0.45
12,256,0.51
12,512,0.56
12,1024,0.71
12,2048,0.92
12,4096,1.56
12,8192,2.33
12,16384,4.57
12,32768,8.74
12,65536,17.66
12,131072,36.88
12,262144,220.43
12,524288,426.45
12,1048576,876.01
14,2,0.37
14,4,0.37
14,8,0.39
14,16,0.46
14,32,0.38
14,64,0.40
14,128,0.53
14,256,0.54
14,512,0.61
14,1024,0.75
14,2048,0.99
14,4096,1.62
14,8192,2.37
14,16384,4.49
14,32768,8.52
14,65536,17.42
14,131072,37.08
14,262144,255.92
14,524288,485.97
14,1048576,1019.34
16,2,0.42
16,4,0.41
16,8,0.40
16,16,0.44
16,32,0.43
16,64,0.46
16,128,0.55
16,256,0.60
16,512,0.65
16,1024,0.75
16,2048,0.98
16,4096,1.56
16,8192,2.23
16,16384,4.55
16,32768,8.77
16,65536,17.77
16,131072,38.12
16,262144,275.62
16,524288,544.02
16,1048576,1271.84
18,2,0.35
18,4,0.36
18,8,0.36
18,16,0.40
18,32,0.35
18,64,0.35
18,128,0.50
18,256,0.51
18,512,0.56
18,1024,0.70
18,2048,0.91
18,4096,1.54
18,8192,2.44
18,16384,4.71
18,32768,9.30
18,65536,19.07
18,131072,40.67
18,262144,312.59
18,524288,615.90
18,1048576,1390.24
20,2,0.37
20,4,0.39
20,8,0.38
20,16,0.40
20,32,0.39
20,64,0.38
20,128,0.51
20,256,0.53
20,512,0.56
20,1024,0.68
20,2048,0.93
20,4096,1.61
20,8192,2.43
20,16384,4.77
20,32768,9.86
20,65536,19.79
20,131072,42.42
20,262144,362.09
20,524288,702.97
20,1048576,1623.72
22,2,0.39
22,4,0.40
22,8,0.39
22,16,0.40
22,32,0.38
22,64,0.41
22,128,0.55
22,256,0.60
22,512,0.65
22,1024,0.74
22,2048,1.01
22,4096,1.61
22,8192,2.53
22,16384,4.84
22,32768,9.83
22,65536,20.24
22,131072,42.62
22,262144,380.61
22,524288,776.84
22,1048576,1850.12
24,2,0.42
24,4,0.42
24,8,0.49
24,16,0.43
24,32,0.42
24,64,0.44
24,128,0.60
24,256,0.65
24,512,0.66
24,1024,0.76
24,2048,0.99
24,4096,1.64
24,8192,2.63
24,16384,5.08
24,32768,10.29
24,65536,21.18
24,131072,45.06
24,262144,430.64
24,524288,878.02
24,1048576,2072.90
26,2,0.49
26,4,0.51
26,8,0.62
26,16,0.50
26,32,0.54
26,64,0.50
26,128,0.69
26,256,0.69
26,512,0.79
26,1024,0.90
26,2048,1.09
26,4096,1.77
26,8192,2.62
26,16384,5.24
26,32768,10.31
26,65536,22.15
26,131072,45.95
26,262144,451.68
26,524288,964.55
26,1048576,2263.55
28,2,0.53
28,4,0.60
28,8,0.59
28,16,0.55
28,32,0.55
28,64,0.58
28,128,0.73
28,256,0.78
28,512,0.84
28,1024,0.90
28,2048,1.14
28,4096,1.82
28,8192,2.65
28,16384,5.39
28,32768,10.90
28,65536,22.41
28,131072,48.22
28,262144,488.49
28,524288,1061.96
28,1048576,2553.66
30,2,0.68
30,4,0.70
30,8,0.64
30,16,0.61
30,32,0.65
30,64,0.72
30,128,0.81
30,256,0.81
30,512,0.87
30,1024,1.02
30,2048,1.24
30,4096,1.88
30,8192,2.75
30,16384,5.53
30,32768,10.83
30,65536,23.50
30,131072,48.91
30,262144,524.43
30,524288,1124.53
30,1048576,2623.37
32,2,0.61
32,4,0.67
32,8,0.62
32,16,0.63
32,32,0.60
32,64,0.64
32,128,0.81
32,256,0.82
32,512,0.89
32,1024,0.96
32,2048,1.18
32,4096,1.81
32,8192,2.65
32,16384,5.67
32,32768,10.87
32,65536,23.52
32,131072,50.45
32,262144,581.99
32,524288,1246.52
32,1048576,2864.08
34,2,0.60
34,4,0.66
34,8,0.61
34,16,0.59
34,32,0.62
34,64,0.62
34,128,0.76
34,256,0.77
34,512,0.82
34,1024,0.92
34,2048,1.15
34,4096,1.77
34,8192,2.70
34,16384,5.67
34,32768,11.68
34,65536,24.94
34,131072,52.79
34,262144,604.02
34,524288,1292.58
34,1048576,3162.39
36,2,0.63
36,4,0.71
36,8,0.63
36,16,0.61
36,32,0.61
36,64,0.63
36,128,0.81
36,256,0.83
36,512,0.86
36,1024,0.95
36,2048,1.23
36,4096,1.91
36,8192,2.87
36,16384,5.87
36,32768,11.63
36,65536,25.86
36,131072,54.56
36,262144,641.36
36,524288,1419.15
36,1048576,3242.12
38,2,0.67
38,4,0.75
38,8,0.65
38,16,0.67
38,32,0.64
38,64,0.65
38,128,0.79
38,256,0.82
38,512,0.91
38,1024,1.01
38,2048,1.26
38,4096,1.93
38,8192,2.84
38,16384,5.99
38,32768,11.98
38,65536,26.32
38,131072,56.60
38,262144,682.87
38,524288,1526.21
38,1048576,3408.65
40,2,0.66
40,4,0.71
40,8,0.70
40,16,0.71
40,32,0.65
40,64,0.71
40,128,0.84
40,256,0.92
40,512,0.92
40,1024,1.04
40,2048,1.33
40,4096,1.90
40,8192,2.91
40,16384,6.09
40,32768,12.27
40,65536,27.14
40,131072,57.93
40,262144,725.56
40,524288,1599.43
40,1048576,3682.64
42,2,0.74
42,4,0.81
42,8,0.75
42,16,0.76
42,32,0.79
42,64,0.79
42,128,0.95
42,256,0.93
42,512,0.99
42,1024,1.11
42,2048,1.34
42,4096,1.95
42,8192,3.05
42,16384,6.06
42,32768,12.70
42,65536,27.69
42,131072,60.25
42,262144,776.30
42,524288,1710.00
42,1048576,3872.37
44,2,0.76
44,4,0.79
44,8,0.77
44,16,0.77
44,32,0.78
44,64,0.80
44,128,0.99
44,256,0.97
44,512,1.04
44,1024,1.14
44,2048,1.40
44,4096,2.06
44,8192,3.10
44,16384,6.24
44,32768,12.85
44,65536,28.92
44,131072,61.91
44,262144,802.19
44,524288,1810.54
44,1048576,4023.75
46,2,0.84
46,4,0.88
46,8,0.79
46,16,0.82
46,32,0.84
46,64,0.81
46,128,1.01
46,256,1.05
46,512,1.05
46,1024,1.26
46,2048,1.41
46,4096,2.11
46,8192,3.16
46,16384,6.31
46,32768,13.54
46,65536,29.80
46,131072,64.05
46,262144,876.38
46,524288,1984.77
46,1048576,4182.69
48,2,0.84
48,4,0.83
48,8,0.89
48,16,0.84
48,32,0.86
48,64,0.87
48,128,1.03
48,256,1.11
48,512,1.08
48,1024,1.26
48,2048,1.42
48,4096,2.13
48,8192,3.25
48,16384,6.47
48,32768,13.93
48,65536,31.45
48,131072,67.92
48,262144,906.20
48,524288,2074.53
48,1048576,4561.78

