OMP_NUM_THREADS,Execution_Time
1,0.260102
2,0.255340
3,0.255287
4,0.289057
5,0.268686
6,0.262903
7,0.261856
8,0.266226
9,0.286028
10,0.254286
11,0.256249
12,0.296845
13,0.253369
14,0.254626
15,0.274439
16,0.267321
17,0.264819
18,0.263779
19,0.253285
20,0.255846
21,0.254065
22,0.262461
23,0.275549
24,0.272799
