2, 2, 0.37
2, 4, 0.37
2, 8, 0.37
2, 16, 0.37
2, 32, 0.53
2, 64, 0.46
2, 128, 0.78
2, 256, 0.81
2, 512, 0.88
2, 1024, 1.05
2, 2048, 1.39
2, 4096, 2.04
2, 8192, 3.64
2, 16384, 3.68
2, 32768, 5.91
2, 65536, 7.31
2, 131072, 10.23
2, 262144, 15.80
2, 524288, 29.39
2, 1048576, 65.19
4, 2, 0.58
4, 4, 0.58
4, 8, 0.54
4, 16, 0.57
4, 32, 0.73
4, 64, 0.71
4, 128, 1.15
4, 256, 1.15
4, 512, 1.37
4, 1024, 1.57
4, 2048, 2.45
4, 4096, 3.53
4, 8192, 5.27
4, 16384, 9.25
4, 32768, 15.28
4, 65536, 20.38
4, 131072, 33.06
4, 262144, 67.76
4, 524288, 114.43
4, 1048576, 256.11
6, 2, 0.85
6, 4, 0.81
6, 8, 0.84
6, 16, 0.80
6, 32, 0.97
6, 64, 0.95
6, 128, 1.48
6, 256, 1.59
6, 512, 1.70
6, 1024, 2.09
6, 2048, 3.06
6, 4096, 4.40
6, 8192, 6.37
6, 16384, 11.55
6, 32768, 17.77
6, 65536, 30.07
6, 131072, 55.21
6, 262144, 111.93
6, 524288, 197.97
6, 1048576, 429.72
8, 2, 0.91
8, 4, 0.94
8, 8, 0.97
8, 16, 0.93
8, 32, 1.27
8, 64, 1.34
8, 128, 1.85
8, 256, 1.96
8, 512, 2.05
8, 1024, 2.36
8, 2048, 3.47
8, 4096, 4.76
8, 8192, 7.20
8, 16384, 13.43
8, 32768, 19.73
8, 65536, 34.69
8, 131072, 62.94
8, 262144, 127.07
8, 524288, 235.54
8, 1048576, 476.48
10, 2, 1.21
10, 4, 1.19
10, 8, 1.14
10, 16, 1.22
10, 32, 1.51
10, 64, 1.44
10, 128, 2.04
10, 256, 2.07
10, 512, 2.31
10, 1024, 2.78
10, 2048, 3.85
10, 4096, 5.45
10, 8192, 8.06
10, 16384, 16.39
10, 32768, 22.79
10, 65536, 40.11
10, 131072, 72.06
10, 262144, 137.70
10, 524288, 275.55
10, 1048576, 513.35
12, 2, 1.23
12, 4, 1.21
12, 8, 1.15
12, 16, 1.20
12, 32, 1.47
12, 64, 1.50
12, 128, 2.03
12, 256, 2.14
12, 512, 2.32
12, 1024, 2.90
12, 2048, 3.98
12, 4096, 5.53
12, 8192, 8.63
12, 16384, 16.33
12, 32768, 26.10
12, 65536, 42.36
12, 131072, 78.48
12, 262144, 157.07
12, 524288, 278.35
12, 1048576, 583.75
14, 2, 1.17
14, 4, 1.09
14, 8, 1.11
14, 16, 1.11
14, 32, 1.52
14, 64, 1.46
14, 128, 2.14
14, 256, 2.21
14, 512, 2.35
14, 1024, 3.03
14, 2048, 4.16
14, 4096, 5.83
14, 8192, 8.80
14, 16384, 17.42
14, 32768, 25.72
14, 65536, 46.31
14, 131072, 86.55
14, 262144, 150.02
14, 524288, 293.39
14, 1048576, 580.38
16, 2, 1.19
16, 4, 1.19
16, 8, 1.18
16, 16, 1.18
16, 32, 1.60
16, 64, 1.79
16, 128, 2.28
16, 256, 2.31
16, 512, 2.43
16, 1024, 2.94
16, 2048, 4.20
16, 4096, 6.08
16, 8192, 9.20
16, 16384, 18.10
16, 32768, 27.92
16, 65536, 48.52
16, 131072, 87.37
