46,2,1.56
46,4,1.77
46,8,1.60
46,16,1.68
46,32,1.77
46,64,2.14
46,128,2.32
46,256,2.54
46,512,3.19
46,1024,4.43
46,2048,6.24
46,4096,10.15
46,8192,17.66
46,16384,32.90
46,32768,63.63
46,65536,127.78
46,131072,268.80
46,262144,826.20
46,524288,1699.31
46,1048576,7001.60
48,2,1.59
48,4,1.94
48,8,1.62
48,16,1.74
48,32,1.85
48,64,2.28
48,128,2.36
48,256,2.64
48,512,3.24
48,1024,4.57
48,2048,6.48
48,4096,10.85
48,8192,18.84
48,16384,34.98
48,32768,67.04
48,65536,135.03
48,131072,279.39
48,262144,864.68
48,524288,1800.07
48,1048576,7197.28
